year,round_no,college_code,college_name,branch,category,closing_rank
2023,1,E125,Siddaganga Institute of Technology,B.ARCH,GM,464.0
2023,1,E138,Srinivas Institute Of Technology,B.ARCH,GM,450.0
2023,1,E163,SJB School of Architecture & Planning,B.ARCH,GM,611.0
2023,1,E164,REVA University,B.ARCH,GM,499.0
2023,1,E168,Mysore School of Architecture,B.ARCH,GM,639.0
2023,1,E174,Aditya Academy of Architecture & Design,B.ARCH,GM,504.0
2023,1,E176,R V College of Architecture,B.ARCH,GM,189.0
2023,1,E177,BGS School of Architecture And Planning,B.ARCH,GM,659.0
2023,1,E178,Wadiyar Centre For Architecture,B.ARCH,GM,224.0
2023,1,E185,Brindavan College of Architecture,B.ARCH,GM,553.0
2023,1,E186,Nitte School of Architecture Planning and Design,B.ARCH,GM,676.0
2023,1,E187,CMR University,B.ARCH,GM,674.0
2023,1,E189,BMS College of Architecture,B.ARCH,GM,125.0
2023,1,E191,Sir M V School of Architecture,B.ARCH,GM,564.0
2023,1,E193,Dayananda Sagar College of Architecture,B.ARCH,GM,534.0
2023,1,E186,Nitte School of Architecture Planning and Design,B.ARCH,GM,523.0
2023,2,E002,Acharya's NRV School of Architecture,B.ARCH,GM,
2023,2,E008,Angadi School of Architecture,B.ARCH,GM,
2023,2,E016,K.L.E Technological University (Formerly known as BVBCET),B.ARCH,GM,
2023,2,E026,B L D E A's V.P. Dr. P G Halakatti College of Engg & Technology,B.ARCH,GM,
2023,2,E029,BMS School of Architecture,B.ARCH,GM,664.0
2023,2,E039,Dayananda Sagar Academy of Technology & Management,B.ARCH,GM,
2023,2,E054,GSSS School of Architecture for Women,B.ARCH,GM,
2023,2,E057,JSS Institute of Architecture and Planning,B.ARCH,GM,
2023,2,E073,KLS Gogte Institute of Technology,B.ARCH,GM,
2023,2,E077,M S Ramaiah Institute of Technology,B.ARCH,GM,512.0
2023,2,E125,Siddaganga Institute of Technology,B.ARCH,GM,
2023,2,E138,Srinivas Institute of Technology,B.ARCH,GM,
2023,2,E163,SJB School of Architecture & Planning,B.ARCH,GM,462.0
2023,2,E164,Reva University,B.ARCH,GM,577.0
2023,2,E168,Mysore School of Architecture,B.ARCH,GM,660.0
2023,2,E174,Aditya Academy of Architecture & Design,B.ARCH,GM,
2023,2,E175,Gopalan School of Architectrue and Planning,B.ARCH,GM,
2023,2,E176,R V College of Architecture,B.ARCH,GM,396.0
2023,2,E177,BGS School of Architecture And Planning,B.ARCH,GM,
2023,2,E178,Wadiyar Centre For Architecture,B.ARCH,GM,418.0
2023,2,E181,Bearys Enviro Architecture Design School,B.ARCH,GM,
2023,2,E185,Brindavan College of Architecture,B.ARCH,GM,
2023,2,E186,Nitte School of Architecture Planning and Design,B.ARCH,GM,
2023,2,E186,Nitte School of Architecture Planning and Design,B.ARCH,GM,
2023,2,E187,CMR University,B.ARCH,GM,
2023,2,E189,BMS College of Architecture,B.ARCH,GM,243.0
2023,2,E191,Sir M V School of Architecture,B.ARCH,GM,
2023,2,E193,Dayananda Sagar College of Architecture,B.ARCH,GM,671.0
2023,3,E002,Acharya's NRV School of Architecture,B.ARCH,GM,
2023,3,E008,Angadi School of Architecture,B.ARCH,GM,
2023,3,E016,K.L.E. Technologiceal University (Formerly B.V. Bhoomaraddi College of Eng & Tech),B.ARCH,GM,
2023,3,E026,BLDEA's V.P. Dr. PG Halkatti College of Engineering & Technology,B.ARCH,GM,
2023,3,E029,BMS School of Architecture,B.ARCH,GM,473.0
2023,3,E039,Dayananda Sagar Academy of Technology & Management,B.ARCH,GM,
2023,3,E054,GSSS School of Architecture for Women,B.ARCH,GM,
2023,3,E057,JSS Institute of Architecture and Planning,B.ARCH,GM,
2023,3,E073,KLS Gogte Institute of Technology,B.ARCH,GM,
2023,3,E077,M.S Ramaiah Institute of Technology,B.ARCH,GM,653.0
2023,3,E125,Siddaganga Institute of Technology,B.ARCH,GM,
2023,3,E138,Srinivas Institute Of Technology,B.ARCH,GM,
2023,3,E163,SJB School of Architecture & Planning,B.ARCH,GM,462.0
2023,3,E164,REVA University,B.ARCH,GM,
2023,3,E168,Mysore School of Architecture,B.ARCH,GM,
2023,3,E174,Aditya Academy of Architecture & Design,B.ARCH,GM,
2023,3,E175,Gopalan School of Architectrue and Planning,B.ARCH,GM,
2023,3,E176,R V College of Architecture,B.ARCH,GM,542.0
2023,3,E177,BGS School of Architecture And Planning,B.ARCH,GM,
2023,3,E178,Wadiyar Centre For Architecture,B.ARCH,GM,447.0
2023,3,E181,Bearys Enviro Architecture Design School,B.ARCH,GM,
2023,3,E185,Brindavan College of Architecture,B.ARCH,GM,
2023,3,E186,Nitte School of Architecture Planning and Design,B.ARCH,GM,
2023,3,E186,Nitte School of Architecture Planning and Design,B.ARCH,GM,
2023,3,E187,CMR University,B.ARCH,GM,
2023,3,E189,BMS College of Architecture,B.ARCH,GM,302.0
2023,3,E191,Sir M V School of Architecture,B.ARCH,GM,
2023,3,E193,Dayananda Sagar College of Architecture,B.ARCH,GM,600.0
2023,3,E200,Impact School of Architecture,B.ARCH,GM,
2023,3,Page 1 of 1,nan,B.ARCH,GM,
2024,1,E002,"Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru",B.ARCH,GM,626.0
2024,1,E002,"Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru",B.ARCH,KKR,
2024,1,E008,"Angadi School of Architecture-Savagaon Road, Belagavi",B.ARCH,GM,
2024,1,E008,"Angadi School of Architecture-Savagaon Road, Belagavi",B.ARCH,KKR,
2024,1,E016,"KLE Technological University (Formerly known as BVBCET)-Vidyanagar, Hubbali",B.ARCH,GM,527.0
